Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country;City;State;Postal_Code;Region;Product_ID;Sales;Quantity;Discount;Profit;Person
CA-2016-100881;28/03/2016;01/04/2016;Standard Class;DR-12940;Daniel Raglin      ;Home Office;United States;Albuquerque  ;New Mexico  ;87105;West   ;TEC-PH-10003273;302,4;3;0,2;22,7;Anna Andreadi 
CA-2016-100972;19/11/2016;24/11/2016;Second Class  ;DB-13360;Dennis Bolton      ;Home Office;United States;Salt Lake Cit;Utah        ;84106;West   ;OFF-PA-10000357;166,4;3;0;79,9;Anna Andreadi 
CA-2016-102645;23/01/2016;28/01/2016;Standard Class;IM-15055;Ionia McGrath      ;Consumer   ;United States;Las Vegas    ;Nevada      ;89115;West   ;OFF-PA-10001804;40,1;6;0;19,2;Anna Andreadi 
CA-2016-104472;02/06/2016;07/06/2016;Standard Class;CK-12325;Christine Kargatis ;Home Office;United States;Orem         ;Utah        ;84057;West   ;OFF-BI-10001658;59,8;3;0,2;19,4;Anna Andreadi 
CA-2016-104472;02/06/2016;07/06/2016;Standard Class;CK-12325;Christine Kargatis ;Home Office;United States;Orem         ;Utah        ;84057;West   ;FUR-FU-10000246;73,3;6;0;22;Anna Andreadi 
CA-2016-104829;18/11/2016;21/11/2016;Second Class  ;JG-15805;John Grady         ;Corporate  ;United States;Provo        ;Utah        ;84604;West   ;OFF-PA-10003016;22;7;0;9,9;Anna Andreadi 
CA-2016-106719;24/08/2016;24/08/2016;Same Day      ;RB-19645;Robert Barroso     ;Corporate  ;United States;Billings     ;Montana     ;59102;West   ;OFF-BI-10002799;8,3;2;0,2;2,7;Anna Andreadi 
CA-2016-110555;11/04/2016;18/04/2016;Standard Class;MM-18055;Michelle Moray     ;Consumer   ;United States;Great Falls  ;Montana     ;59405;West   ;OFF-ST-10000876;87,1;7;0;24,4;Anna Andreadi 
CA-2016-110555;11/04/2016;18/04/2016;Standard Class;MM-18055;Michelle Moray     ;Consumer   ;United States;Great Falls  ;Montana     ;59405;West   ;TEC-PH-10000586;105,6;2;0,2;9,2;Anna Andreadi 
CA-2016-110555;11/04/2016;18/04/2016;Standard Class;MM-18055;Michelle Moray     ;Consumer   ;United States;Great Falls  ;Montana     ;59405;West   ;TEC-AC-10003399;217,4;6;0;91,3;Anna Andreadi 
