Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country;City;State;Postal_Code;Region;Product_ID;Sales;Quantity;Discount;Profit;Person
CA-2016-100293;14/03/2016;18/03/2016;Standard Class;NF-18475;Neil Französisch   ;Home Office;United States;Jacksonville ;Florida     ;32216;South  ;OFF-PA-10000176;91,1;6;0,2;31,9;Cassandra Bran
CA-2016-100706;16/12/2016;18/12/2016;Second Class  ;LE-16810;Laurel Elliston    ;Consumer   ;United States;Springfield  ;Virginia    ;22153;South  ;TEC-AC-10001314;100;2;0;8;Cassandra Bran
CA-2016-100706;16/12/2016;18/12/2016;Second Class  ;LE-16810;Laurel Elliston    ;Consumer   ;United States;Springfield  ;Virginia    ;22153;South  ;FUR-FU-10002268;29,5;6;0;9,7;Cassandra Bran
CA-2016-100895;02/06/2016;06/06/2016;Standard Class;SV-20785;Stewart Visinsky   ;Consumer   ;United States;Roswell      ;Georgia     ;30076;South  ;OFF-AR-10004511;8,6;2;0;2,7;Cassandra Bran
CA-2016-100895;02/06/2016;06/06/2016;Standard Class;SV-20785;Stewart Visinsky   ;Consumer   ;United States;Roswell      ;Georgia     ;30076;South  ;TEC-PH-10001425;240;3;0;67,2;Cassandra Bran
CA-2016-100895;02/06/2016;06/06/2016;Standard Class;SV-20785;Stewart Visinsky   ;Consumer   ;United States;Roswell      ;Georgia     ;30076;South  ;OFF-ST-10001490;356,9;2;0;107,1;Cassandra Bran
CA-2016-100916;21/10/2016;26/10/2016;Standard Class;FH-14275;Frank Hawley       ;Corporate  ;United States;Newport News ;Virginia    ;23602;South  ;OFF-ST-10003479;194,7;5;0;9,7;Cassandra Bran
CA-2016-100916;21/10/2016;26/10/2016;Standard Class;FH-14275;Frank Hawley       ;Corporate  ;United States;Newport News ;Virginia    ;23602;South  ;FUR-TA-10004607;591,3;4;0;112,4;Cassandra Bran
CA-2016-100916;21/10/2016;26/10/2016;Standard Class;FH-14275;Frank Hawley       ;Corporate  ;United States;Newport News ;Virginia    ;23602;South  ;OFF-AR-10001022;2,8;1;0;0,9;Cassandra Bran
CA-2016-101266;27/08/2016;30/08/2016;Second Class  ;MM-17920;Michael Moore      ;Consumer   ;United States;Springfield  ;Virginia    ;22153;South  ;OFF-PA-10002986;13,4;2;0;6,4;Cassandra Bran
CA-2016-101560;28/11/2016;01/12/2016;Second Class  ;CS-12250;Chris Selesnick    ;Corporate  ;United States;Columbia     ;South Caroli;29203;South  ;FUR-FU-10003773;397,6;5;0;43,7;Cassandra Bran
CA-2016-101560;28/11/2016;01/12/2016;Second Class  ;CS-12250;Chris Selesnick    ;Corporate  ;United States;Columbia     ;South Caroli;29203;South  ;OFF-PA-10001363;86;7;0;40,4;Cassandra Bran
CA-2016-101560;28/11/2016;01/12/2016;Second Class  ;CS-12250;Chris Selesnick    ;Corporate  ;United States;Columbia     ;South Caroli;29203;South  ;OFF-AR-10004757;13,1;4;0;4,3;Cassandra Bran
CA-2016-101560;28/11/2016;01/12/2016;Second Class  ;CS-12250;Chris Selesnick    ;Corporate  ;United States;Columbia     ;South Caroli;29203;South  ;OFF-BI-10000309;45,7;3;0;22,4;Cassandra Bran
CA-2016-101770;31/03/2016;04/04/2016;Standard Class;KB-16240;Karen Bern         ;Corporate  ;United States;Miami        ;Florida     ;33180;South  ;OFF-BI-10001097;1,9;1;0,7;-1,3;Cassandra Bran
CA-2016-102274;21/11/2016;26/11/2016;Standard Class;DH-13075;Dave Hallsten      ;Corporate  ;United States;Richmond     ;Kentucky    ;40475;South  ;TEC-PH-10002923;37;1;0;10;Cassandra Bran
